股票代码,股票名称,当前价,涨跌额,涨跌额,年初至今,成交量,成交额,换手率,市盈率（TTM）,股息率,市值
SH688517,金冠电气,26.99,+4.46,+19.80%,+134.90%,1386.73万,3.48亿,16.94%,42.92,0.74%,36.74亿
SH688659,元琛科技,14.02,+1.92,+15.87%,,1908.00万,2.50亿,21.70%,491.55,0.00%,22.43亿
SH688778,厦钨新能,71.21,+7.86,+12.41%,,729.16万,5.13亿,7.72%,20.95,0.70%,214.02亿
SH688793,倍轻松,53.99,+5.79,+12.01%,+10.12%,202.42万,1.05亿,8.74%,-,0.00%,33.28亿
SH688658,悦康药业,23.13,+2.13,+10.14%,+19.72%,1001.67万,2.25亿,4.90%,29.17,4.76%,104.09亿
SH688067,爱威科技,23.30,+2.04,+9.60%,+24.40%,513.74万,1.18亿,12.79%,110.96,0.43%,15.84亿
SH688117,圣诺生物,34.18,+2.80,+8.92%,+53.83%,444.15万,1.50亿,9.94%,42.58,0.73%,27.34亿
SH688800,瑞可达,76.30,+5.86,+8.32%,,229.99万,1.72亿,3.38%,36.29,0.68%,86.34亿
SH688279,峰岹科技,83.00,+6.37,+8.31%,,98.30万,8060.65万,1.78%,53.34,0.58%,76.66亿
SH688210,统联精密,24.40,+1.84,+8.16%,+10.56%,108.84万,2570.61万,1.49%,33.47,1.07%,27.33亿
SH688159,有方科技,22.69,+1.70,+8.10%,+55.95%,273.09万,6064.83万,3.10%,-,0.00%,20.80亿
SH688600,皖仪科技,28.35,+2.10,+8.00%,+13.49%,267.59万,7523.99万,3.89%,64.85,0.70%,37.92亿
SH688409,富创精密,99.90,+7.15,+7.71%,,455.74万,4.53亿,9.75%,85.51,0.70%,208.84亿
SH688260,昀冢科技,15.31,+1.05,+7.36%,+10.06%,212.59万,3193.59万,3.12%,-,0.00%,18.37亿
SH688348,昱能科技,289.65,+19.15,+7.08%,,255.96万,7.45亿,13.36%,51.79,0.76%,231.72亿
SH688177,百奥泰,28.45,+1.88,+7.08%,+30.62%,288.97万,8095.78万,0.70%,-,0.00%,117.81亿
SH688531,日联科技,160.30,+10.30,+6.87%,+5.20%,87.14万,1.36亿,5.01%,158.94,0.19%,127.29亿
SH688566,吉贝尔,29.66,+1.85,+6.65%,+38.47%,207.49万,6016.52万,2.57%,33.79,1.62%,55.45亿
SH688529,豪森股份,24.12,+1.48,+6.54%,+8.80%,249.58万,5917.21万,5.31%,33.91,0.46%,30.87亿
SH688073,毕得医药,122.82,+7.47,+6.48%,+49.51%,50.80万,6172.67万,3.64%,50.63,1.25%,79.73亿
SH688331,荣昌生物,63.70,+3.86,+6.45%,,168.12万,1.04亿,1.05%,-,0.00%,346.70亿
SH688182,灿勤科技,19.05,+1.15,+6.42%,+65.94%,532.86万,1.01亿,5.55%,108.38,0.37%,76.20亿
SH688223,晶科能源,12.03,+0.72,+6.37%,,5416.82万,6.45亿,2.76%,28.69,0.74%,1203.00亿
SH688349,三一重能,36.50,+2.09,+6.07%,+24.62%,664.60万,2.43亿,4.67%,28.31,1.18%,434.16亿
SH688378,奥来德,63.00,+3.55,+5.97%,+24.75%,176.06万,1.10亿,2.63%,53.13,1.59%,64.68亿
SH688268,华特气体,76.90,+4.30,+5.92%,+3.57%,294.62万,2.22亿,2.45%,44.68,0.52%,92.52亿
SH688128,中国电研,27.29,+1.50,+5.82%,+59.78%,1175.78万,3.02亿,2.91%,29.31,1.47%,110.39亿
SH688032,禾迈股份,528.03,+28.24,+5.65%,,140.84万,7.52亿,5.04%,47.57,1.00%,295.70亿
SH688390,固德威,272.15,+14.27,+5.53%,,435.82万,11.90亿,5.40%,34.34,0.59%,335.29亿
SH688146,中船特气,43.92,+2.24,+5.37%,+21.49%,750.11万,3.21亿,12.70%,61.76,-,232.52亿
SH688234,天岳先进,80.03,+4.03,+5.30%,+2.60%,158.41万,1.24亿,1.13%,-,0.00%,343.90亿
SH688090,瑞松科技,28.39,+1.43,+5.30%,+16.35%,150.09万,4170.61万,2.91%,-,0.46%,19.12亿
SH688676,金盘科技,31.41,+1.57,+5.26%,,499.02万,1.55亿,2.60%,40.83,0.80%,134.13亿
SH688248,南网科技,39.99,+1.99,+5.24%,,554.99万,2.19亿,6.83%,97.52,0.31%,225.82亿
SH688372,伟测科技,127.43,+6.31,+5.21%,+33.80%,224.49万,2.82亿,11.97%,49.25,0.67%,111.13亿
SH688599,天合光能,46.58,+2.29,+5.17%,,2289.80万,10.58亿,1.72%,20.64,1.03%,1012.30亿
SH688525,佰维存储,69.36,+3.36,+5.09%,+331.88%,912.85万,6.18亿,26.24%,-,0.00%,298.48亿
SH688208,道通科技,32.41,+1.56,+5.06%,+2.73%,1156.42万,3.69亿,2.56%,132.30,0.00%,146.45亿
SH688696,极米科技,166.16,+7.96,+5.03%,,80.81万,1.31亿,1.77%,26.91,1.29%,116.31亿
SH688156,路德环境,34.49,+1.65,+5.02%,+15.16%,173.25万,5881.96万,2.43%,123.66,0.87%,31.86亿
SH688556,高测股份,45.25,+2.15,+4.99%,,835.61万,3.76亿,3.51%,14.07,0.55%,144.39亿
SH688255,凯尔达,37.00,+1.70,+4.82%,+43.91%,83.28万,3051.84万,1.69%,95.01,0.70%,29.01亿
SH688226,威腾电气,18.19,+0.83,+4.78%,,366.55万,6597.51万,4.45%,41.52,0.76%,28.38亿
SH688376,美埃科技,34.88,+1.58,+4.74%,+11.51%,87.32万,3008.52万,2.83%,36.14,0.29%,46.88亿
SH688191,智洋创新,14.26,+0.64,+4.70%,+12.46%,386.20万,5450.66万,5.28%,296.51,0.84%,21.89亿
SH688670,金迪克,58.50,+2.62,+4.69%,+36.08%,55.48万,3166.12万,1.81%,63.92,0.34%,51.48亿
SH688699,明微电子,54.43,+2.43,+4.67%,+18.61%,182.66万,9692.31万,3.49%,-,1.84%,59.91亿
SH688737,中自科技,39.79,+1.76,+4.63%,+5.21%,109.15万,4252.60万,2.42%,-,0.00%,34.23亿
SH688002,睿创微纳,50.91,+2.17,+4.45%,+36.89%,486.31万,2.43亿,1.09%,59.82,0.22%,227.72亿
SH688386,泛亚微透,42.80,+1.80,+4.39%,,71.57万,3020.18万,1.51%,120.41,1.17%,29.96亿
SH688148,芳源股份,11.51,+0.48,+4.35%,,564.72万,6429.71万,1.48%,724.76,0.00%,58.89亿
SH688779,长远锂科,11.82,+0.49,+4.32%,,1425.74万,1.67亿,1.41%,19.22,1.96%,228.03亿
SH688053,思科瑞,53.69,+2.22,+4.31%,,59.31万,3110.09万,2.59%,52.66,0.00%,53.69亿
SH688150,莱特光电,20.88,+0.86,+4.30%,+7.91%,226.44万,4633.09万,1.54%,86.84,0.48%,84.03亿
SH688082,盛美上海,106.02,+4.33,+4.26%,+32.69%,257.17万,2.67亿,3.44%,57.81,0.35%,459.66亿
SH688270,臻镭科技,76.97,+3.13,+4.24%,,130.05万,9788.50万,2.10%,77.80,0.39%,84.06亿
SH688503,聚和材料,110.60,+4.49,+4.23%,,82.88万,9121.12万,3.49%,30.07,0.49%,123.77亿
SH688683,莱尔科技,22.20,+0.89,+4.18%,+10.94%,63.12万,1374.95万,1.19%,75.74,0.45%,34.43亿
SH688311,盟升电子,64.60,+2.59,+4.18%,,109.90万,6998.53万,1.64%,392.69,0.00%,74.32亿
SH688777,中控技术,98.79,+3.95,+4.16%,+8.76%,343.17万,3.31亿,0.93%,64.42,0.76%,534.93亿
SH688120,华海清科,346.51,+13.81,+4.15%,+54.31%,86.98万,2.97亿,3.47%,61.17,0.14%,369.61亿
