股票代码,净利润复合年增长率,北向资金净流入,市销率,股票类型,涨幅,是否被关注,股票交易价格最小变动单位,市净率（TTM）,流通股本,当前股价,振幅,市现率,年涨幅,流通市值,北向资金净流入时间,总市值,股息率,每手股数,净资产收益率（TTM）,总涨幅,5分钟涨幅,营收复合年增长率,成交额,涨跌,发行日期时间戳,每股收益,主力净流入,成交量,量比,市净率,关注者人数,换手率,首日涨幅
SH688517,62.943952119036226,,5.9155,82,19.8,False,0.01,4.909,81855664,26.99,21.35,36.8538,134.9,2209284371.0,,3673586876.0,0.741,1,11.69947240296285,86.75,-0.18,11.520723097644447,347626989.0,4.46,1623945600000,0.63,35933625.2,13867339,1.49,4.907,3916,16.94,101.69
SH688659,-59.632593959860614,,4.013,82,15.87,False,0.01,3.467,87916000,14.02,17.11,,-18.16,1232582320.0,,2243200000.0,0.0,1,0.6976115791283979,-31.71,0.14,1.3092053170856488,250027507.0,1.92,1617120000000,0.03,22930997.88,19080023,1.86,3.47,3147,21.7,160.77
SH688778,34.02817002295488,-1456851.498535391,0.814,82,12.41,False,0.01,2.5748,94406344,71.21,11.98,,-8.33,6722675756.0,1683820800000,21402216415.0,0.702,1,16.67465489172428,-42.72,0.11,28.769297290497843,513159875.0,7.86,1628092800000,3.4,66046286.2,7291562,5.6,2.574,11054,7.72,396.57
SH688793,,,3.7981,82,12.01,False,0.01,7.2197,23150343,53.99,14.11,62.133,10.12,1249887019.0,,3327943600.0,0.0,1,-21.02895002196803,-65.64,0.33,-0.06833069379464929,104839610.0,5.79,1626278400000,-1.89,3738567.0,2024198,5.39,7.218,4927,8.74,524.74
SH688658,0.5957651892608773,3429604.3979315944,2.1822,82,10.14,False,0.01,2.5114,204599880,23.13,10.95,80.6966,19.72,4732395224.0,1683820800000,10408500000.0,4.756,1,8.816299652150652,-13.95,0.09,9.457265253351155,225099775.0,2.13,1608739200000,0.79,16599550.0,10016706,3.8,2.55,7181,4.9,29.89
SH688067,-39.68852223172728,,8.2695,82,9.6,False,0.01,3.3197,40167142,23.3,11.9,65.3298,24.4,935894409.0,,1584400000.0,0.429,1,2.971070028747562,-38.14,0.0,-1.0346284379443405,118387504.0,2.04,1623772800000,0.21,18076319.5,5137358,5.41,3.319,1154,12.79,160.37
SH688117,1.8082218774750913,,6.8965,82,8.92,False,0.01,3.2521,44691500,34.18,12.17,32.8311,53.83,1527555470.0,,2734400000.0,0.731,1,7.829808924821173,-57.37,0.23,1.7917857164599704,149764722.0,2.8,1622649600000,0.8,6040745.0,4441495,2.24,3.252,5286,9.94,265.98
SH688800,36.15243264543109,-5180697.780735095,5.4237,82,8.32,False,0.01,4.4643,67945052,76.3,6.33,55.8099,-28.48,5184207468.0,1683820800000,8633883068.0,0.682,1,15.932308020995597,12.53,0.08,34.21711658579807,171760450.0,5.86,1626883200000,2.1,1380289.9299999997,2299924,2.04,6.249,5899,3.38,535.82
SH688279,23.73866450585389,,23.6179,82,8.31,False,0.01,3.3368,55126526,83.0,11.77,211.6462,-3.6,4575501658.0,,7666160540.0,0.578,1,10.426452891867784,36.88,0.02,12.034008902611571,80606519.0,6.37,1650384000000,1.56,993138.0,983033,2.28,3.337,2578,1.78,-19.27
SH688210,,,5.6913,82,8.16,False,0.01,2.241,72936800,24.4,8.55,16.1018,10.56,1779657920.0,,2732800000.0,1.066,1,6.949801035995529,-31.38,-0.16,2.3120542715374004,25706092.0,1.84,1640534400000,0.73,1374984.0,1088406,0.91,2.241,1234,1.49,7.93
